Origin,Horizonte,Mine,Segment,Actual,Pred,Naive
2018-07-01,12,atacama kozan,SM,1.0,1.0929599361966427,0.8
2018-07-01,12,candelaria,LC,10.7,9.986799219758511,11.4
2018-07-01,12,caserones,LC,14.347,10.299624967179227,10.1
2018-07-01,12,centinela_oxidos,SM,5.7,8.001369592533884,4.3
2018-07-01,12,centinela_sulfuros,LC,20.8,14.006186745815146,17.7
2018-07-01,12,cerro colorado,SM,6.314,4.524624668718463,4.8
2018-07-01,12,chuquicamata,LC,24.19,24.311467618291022,27.108
2018-07-01,12,collahuasi,LC,47.341,55.410268270856,41.1
2018-07-01,12,el abra,SM,6.704,6.649954367755293,6.8
2018-07-01,12,el soldado,SM,4.214,3.575493660983892,3.734
2018-07-01,12,el teniente,LC,39.561,37.15560293610851,43.4
2018-07-01,12,escondida,LC,97.228,82.23581054220436,81.4
2018-07-01,12,franke,SM,1.65,1.104941509751377,1.7
2018-07-01,12,gabriela mistral,LC,9.379,9.022885710137626,11.5
2018-07-01,12,lomas bayas,SM,6.701,5.489468767852107,6.5
2018-07-01,12,los bronces,LC,29.657,25.36102267523039,28.21
2018-07-01,12,los pelambres,LC,31.541,26.680486402426865,29.4
2018-07-01,12,mantos blancos,SM,3.835,3.8824111928407,4.053
2018-07-01,12,mantoverde,SM,3.52,3.317075863512249,3.908
2018-07-01,12,ministro hales,LC,13.609,14.170589660484854,16.7
2018-07-01,12,ojos del salado,SM,2.251,2.3117091555962506,2.6
2018-07-01,12,otros,LC,13.251566999999998,11.53959809533808,11.347
2018-07-01,12,radomiro tomic,LC,24.658,23.687442484023006,28.572
